file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,6072,-31.9167066,116.1317087,37.04,40.85,30.3
AUS-44,rcp45,2050,6073,-31.9232897,116.1634501,37.04,40.85,30.3
AUS-44,rcp45,2050,6074,-31.9607255,116.2521639,37.04,40.85,30.3
AUS-44,rcp45,2050,6076,-32.0132935,116.1476669,37.04,40.85,30.3
AUS-44,rcp45,2050,6078,-31.6338185,115.8325985,40.87,46.2,34.45
AUS-44,rcp45,2050,6081,-31.862784,116.1492356,37.04,40.85,30.3
AUS-44,rcp45,2050,6082,-31.7849308,116.2718196,43.55,48.25,37.62
AUS-44,rcp45,2050,6083,-31.7088199,116.2437381,43.55,48.25,37.62
AUS-44,rcp45,2050,6084,-31.5922646,116.0684517,42.66,47.57,36.57
AUS-44,rcp45,2050,6102,-32.0039048,115.907574,37.04,40.85,30.3
AUS-44,rcp45,2050,6104,-31.9416135,115.9343895,37.04,40.85,30.3
AUS-44,rcp45,2050,6105,-31.9554523,115.963377,37.04,40.85,30.3
AUS-44,rcp45,2050,6106,-31.9926124,115.948951,37.04,40.85,30.3
AUS-44,rcp45,2050,6107,-32.0171215,115.9662418,37.04,40.85,30.3
AUS-44,rcp45,2050,6108,-32.0600309,115.955019,37.04,40.85,30.3
AUS-44,rcp45,2050,6109,-32.042679,116.0144292,37.04,40.85,30.3
AUS-44,rcp45,2050,6110,-32.0850693,116.0075064,31.6,35,24.77
AUS-44,rcp45,2050,6111,-32.1606329,116.1734261,31.6,35,24.77
AUS-44,rcp45,2050,6112,-32.1635511,116.0033632,31.6,35,24.77
AUS-44,rcp45,2050,6121,-32.2361167,115.9245761,26.17,29.15,19.25
AUS-44,rcp45,2050,6122,-32.2441367,116.0417935,26.17,29.15,19.25
AUS-44,rcp45,2050,6123,-32.2771994,115.9928484,26.17,29.15,19.25
AUS-44,rcp45,2050,6124,-32.3561535,116.1420448,26.17,29.15,19.25
AUS-44,rcp45,2050,6125,-32.366236,115.9582846,26.17,29.15,19.25
AUS-44,rcp45,2050,6126,-32.4369988,116.0304562,26.17,29.15,19.25
AUS-44,rcp45,2050,6147,-32.0436706,115.9278129,37.04,40.85,30.3
AUS-44,rcp45,2050,6148,-32.0326983,115.8994084,37.04,40.85,30.3
AUS-44,rcp45,2050,6155,-32.0739802,115.9094494,31.6,35,24.77
AUS-44,rcp45,2050,6164,-32.1329855,115.8587439,26.17,29.15,19.25
AUS-44,rcp45,2050,6167,-32.2223067,115.8342937,26.17,29.15,19.25
AUS-44,rcp45,2050,6170,-32.266772,115.8298308,26.17,29.15,19.25
AUS-44,rcp45,2050,6171,-32.3289879,115.8306211,26.17,29.15,19.25
AUS-44,rcp45,2050,6176,-32.4174722,115.79451829999999,26.17,29.15,19.25
AUS-44,rcp45,2050,6180,-32.4816526,115.7726211,26.17,29.15,19.25
AUS-44,rcp45,2050,6181,-32.4781181,115.7942166,26.17,29.15,19.25
AUS-44,rcp45,2050,6182,-32.4298641,115.8314126,26.17,29.15,19.25
AUS-44,rcp45,2050,6207,-32.5179623,116.0479712,24.69,27.47,17.82
AUS-44,rcp45,2050,6208,-32.6537163,115.8613974,24.69,27.47,17.82
AUS-44,rcp45,2050,6209,-32.5447598,115.786579,24.69,27.47,17.82
AUS-44,rcp45,2050,6210,-32.5385082,115.7223091,24.69,27.47,17.82
AUS-44,rcp45,2050,6211,-32.7166021,115.6452951,23.22,25.8,16.4
AUS-44,rcp45,2050,6213,-32.6777079,116.1138471,27.73,31.42,21.29
AUS-44,rcp45,2050,6214,-32.7561689,115.8153338,23.22,25.8,16.4
AUS-44,rcp45,2050,6215,-32.8580448,115.9202108,25.58,29.15,18.97
AUS-44,rcp45,2050,6218,-32.958042,115.8663337,23.22,25.8,16.4
AUS-44,rcp45,2050,6219,-33.0010573,115.8620113,21.48,23.88,14.77
AUS-44,rcp45,2050,6220,-33.0312433,115.9512631,24.36,27.74,17.9
AUS-44,rcp45,2050,6221,-33.1579802,115.9899938,23.15,26.33,16.82
AUS-44,rcp45,2050,6223,-33.1806367,115.8469188,19.73,21.95,13.15
AUS-44,rcp45,2050,6224,-33.2323929,115.8628155,19.73,21.95,13.15
AUS-44,rcp45,2050,6225,-33.3876516,116.2792479,23.07,26.88,17.29
AUS-44,rcp45,2050,6226,-33.2943043,115.8662804,19.73,21.95,13.15
AUS-44,rcp45,2050,6227,-33.3314708,115.8353414,19.73,21.95,13.15
AUS-44,rcp45,2050,6228,-33.3280153,115.7625217,19.73,21.95,13.15
AUS-44,rcp45,2050,6229,-33.3471364,115.7125632,19.73,21.95,13.15
